item_id,title,url,source,publish_date,category,status,fetched_at,sent_at
69ad9f1ffcdb9b2e5c8d4309e94db2d0,单一来源/直接采购公示,https://www.zzmetro.cn/nav/list/33/36,郑州地铁采购公告,,招标,sent,2026-07-09T08:53:25.332255,2026-07-09T14:43:15.662528
767e45f453ef6a4c3a8b90558cf11e32,中标（成交）结果公示,https://www.zzmetro.cn/nav/list/33/53,郑州地铁采购公告,,中标,sent,2026-07-09T08:53:25.332459,2026-07-09T14:43:15.662528
c970e100eaf4527f5b05874b49e5a2bd,中标（成交）候选公示,https://www.zzmetro.cn/nav/list/33/37,郑州地铁采购公告,,中标,sent,2026-07-09T08:53:25.332364,2026-07-09T14:43:15.662528
